Scenario,Al,Ti,Fe,Co,Ni,Sc,Zr,Cr,Process,Ag,Cu,Cu_Mg_ratio,Li,Mg,MgZnCu_total,Mg_Si_ratio,Mn,Si,Zn,Zn_Mg_ratio,atomic_radius_weighted,bulk_modulus_weighted,config_entropy,density_weighted,electronegativity_weighted,melting_point_weighted,shear_modulus_weighted,size_mismatch_delta,total_solute_atpct,YS,UTS,Elongation,Q
case2_Al_fixed_TM_var,92.0,1.5,1.5,1.5,1.5,1.0,0.5,0.5,1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.5012878505441,411.4614320285477,25.217287907290704,1167.9800692472688
case2_Al_fixed_TM_var,92.0,1.375,1.375,1.375,1.375,1.5,0.5,0.5,1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.1628354695917,411.1495570285477,25.217287907290704,1167.6681942472687
case2_Al_fixed_TM_var,92.0,1.625,1.625,1.625,1.625,0.5,0.5,0.5,1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338.14060005593126,411.0525345926502,25.20587838348118,1167.2288860970857
case2_Al_fixed_TM_var,92.0,1.5,1.5,1.5,1.5,0.5,0.5,1.0,1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338.14060005593126,410.99420125931687,25.20587838348118,1167.1705527637523
case2_Al_fixed_TM_var,92.0,1.375,1.375,1.375,1.375,1.0,0.5,1.0,1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.35446285054405,410.4399320285476,25.217287907290704,1166.9585692472688
case2_Al_fixed_TM_var,92.0,1.75,1.75,1.75,1.75,0.0,0.5,0.5,1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327.8145952582682,408.00728196342544,25.291739430736396,1166.7594648855172
case2_Al_fixed_TM_var,92.0,1.375,1.375,1.375,1.375,0.5,0.5,1.5,1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337.03202505593123,409.776177449793,25.216035285838085,1166.2572360249355
case2_Al_fixed_TM_var,92.0,1.5,1.5,1.5,1.5,0.5,1.0,0.5,1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337.2392673839735,408.87916190746495,25.236915420518212,1165.9866245230114
case2_Al_fixed_TM_var,92.0,1.375,1.375,1.375,1.375,1.0,1.0,0.5,1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334.57465795636415,408.44218434336244,25.23675351575631,1165.5447898160517
case2_Al_fixed_TM_var,92.0,1.375,1.375,1.375,1.375,0.5,1.0,1.0,1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.0924423839736,407.857661907465,25.236915420518212,1164.9651245230114
