Scenario,Al,Ti,Fe,Co,Ni,Sc,Zr,Cr,Process,Ag,Cu,Cu_Mg_ratio,Li,Mg,MgZnCu_total,Mg_Si_ratio,Mn,Si,Zn,Zn_Mg_ratio,atomic_radius_weighted,bulk_modulus_weighted,config_entropy,density_weighted,electronegativity_weighted,melting_point_weighted,shear_modulus_weighted,size_mismatch_delta,total_solute_atpct,YS,UTS,Elongation,Q
case1_TM_fixed_Al_var,88.0,2.0,2.0,2.0,2.0,2.0,0.5,1.5,1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.3839836415027,418.9425381794861,25.273874049405364,1177.158759661647
case1_TM_fixed_Al_var,88.0,2.0,2.0,2.0,2.0,1.5,0.5,2.0,1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.3839836415027,418.9425381794861,25.273874049405364,1177.158759661647
case1_TM_fixed_Al_var,88.0,2.0,2.0,2.0,2.0,2.5,0.5,1.0,1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.3457336415027,419.13906198901,25.263717147048457,1177.0505764004638
case1_TM_fixed_Al_var,88.0,2.0,2.0,2.0,2.0,3.0,0.5,0.5,1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.3457336415027,419.13906198901,25.263717147048457,1177.0505764004638
case1_TM_fixed_Al_var,88.0,2.0,2.0,2.0,2.0,1.5,1.0,1.5,1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.6204287473228,417.41270716096756,25.29333965787097,1176.2128968970967
case1_TM_fixed_Al_var,88.0,2.0,2.0,2.0,2.0,2.5,1.0,0.5,1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.5821787473228,417.6092309704914,25.28318275551407,1176.1047136359134
case1_TM_fixed_Al_var,88.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.5821787473228,417.6092309704914,25.28318275551407,1176.1047136359134
case1_TM_fixed_Al_var,88.0,2.0,2.0,2.0,2.0,1.0,0.5,2.5,1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.4506110224551,417.8640798461528,25.273874049405364,1176.0803013283137
case1_TM_fixed_Al_var,88.5,2.0,2.0,2.0,2.0,1.5,0.5,1.5,1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.31190030816936,418.76471410541205,25.23304122234601,1175.7559507757924
case1_TM_fixed_Al_var,88.5,2.0,2.0,2.0,2.0,2.5,0.5,0.5,1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.27365030816935,418.96123791493585,25.222884319989106,1175.6477675146089
