Alloy Name,Serial Number,Al,Ag,B,Be,Bi,C,Ca,Cd,Ce,Co,Cr,Cu,Er,Eu,Fe,Ga,Li,Mg,Mn,Mo,Nb,Ni,O,Pb,Sc,Si,Sn,Ta,Te,Ti,V,Zn,Zr,D @ 1000K (cm²/s)_weighted,D @ 500K (cm²/s)_weighted,D @ 600K (cm²/s)_weighted,D @ 700K (cm²/s)_weighted,D @ 800K (cm²/s)_weighted,D @ 900K (cm²/s)_weighted,D0 (cm²/s)_weighted,Q (kJ/mol)_weighted,atomic_number_weighted,atomic_volume_elemental_phase_A3_per_atom_mp_weighted,atomic_weight_weighted,band_gap_elemental_phase_eV_mp_weighted,bulk_modulus_vrh_elemental_phase_GPa_mp_weighted,density_elemental_phase_g_cm3_mp_weighted,electronegativity_weighted,formation_energy_eV_atom,lattice_a_elemental_phase_A_mp_weighted,lattice_alpha_elemental_phase_deg_mp_weighted,lattice_b_elemental_phase_A_mp_weighted,lattice_beta_elemental_phase_deg_mp_weighted,lattice_c_elemental_phase_A_mp_weighted,lattice_gamma_elemental_phase_deg_mp_weighted,melting_point_K_weighted,poisson_ratio_homogeneous_elemental_phase_mp_weighted,shear_modulus_vrh_elemental_phase_GPa_mp_weighted,space_group_number_elemental_phase_mp_weighted,specific_heat_J_gK_weighted,thermal_conductivity_W_mK_weighted,valence_electrons_weighted,young_modulus_vrh_elemental_phase_GPa_mp_weighted,Size_Mismatch_δ,SFE_weighted_mJ_m2,Size_Mismatch_δ.1,Total_Excess_Solute,L12_Score,Ternary_L12_Avg,Ternary_ThreePhase_Avg,Process,YS,UTS,Elongation
Al-3Ni-1Ti-0.8Zr-0.5Mn,11,97.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,1.42,0,0,0,0,0,0,0,0.58,0,0,0.24,0.0000000234,1.33E-16,4.3E-14,3.5E-12,1.1E-10,0.00000000196,0.199597592,126.8088,13.3587,16.39658164,27.772822,0,77.81264,2.844026553,1.612871,3.418728,2.873431237,60.36368145,2.873431283,60.36368085,2.867972584,60.60968059,954.83335,0.329449,26.9611,224.6859,0.888636,232.566805,3.1173,72.469,0.178486894,164.5037096,0.178486894,2.101488806,0.53,1,1,1000000,394,479,7.1
AlMgScZr,12,94.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.95,0.27,0,0,0,0,0,0.42,0,0,0,0,0,0,0,0.1,0.0000000232,1.27E-16,4.17E-14,3.42E-12,1.09E-10,0.00000000194,0.21839208,125.43195,13.0422,16.79708133,27.060385,0,74.017,2.690731822,1.593497,3.300334,2.887109083,61.76857548,2.887109076,61.76857498,2.995090906,63.40957451,939.332075,0.327571,25.7104,223.2602,0.9025,231.201287,2.962,69.13758,0.277985456,160.9055355,0.277985456,0.346330234,0.52,0,0,1000000,382.5,455,14.5
Al-12Si,13,88.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.58,0,0,0,0,0,0,0,0.0000000207,1.09E-16,3.63E-14,3.02E-12,9.64E-11,0.00000000172,208.5956192,163.17406,13.1158,16.89937233,27.108538,0.0706959,78.52444,2.672890664,1.643582,3.533592,2.970981183,60.00000439,2.970981341,60.00000292,2.970981803,60.00000342,1020.728774,0.32421,32.20688,225.2316,0.877998,226.8096,3.1158,76.948,0.735099041,166,0.735099041,0,0,0,0,1000000,260,380,3
Scalmalloy,14,94.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.12,0.24,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0.12,0.0000000232,1.28E-16,4.19E-14,3.43E-12,1.09E-10,0.00000000194,0.219651296,125.39636,13.042,16.80953792,27.059408,0,73.94852,2.688849552,1.59316,3.298088,2.886412311,61.81073411,2.886412303,61.81073361,2.99772007,63.50273314,939.294764,0.327572,25.6828,223.2324,0.902872,231.157584,2.9596,69.0664,0.280853929,160.7646351,0.280853929,0.346330234,0.52,0,0,1000000,480,520,8.6
Al-Mg-Sc-Zr,15,94.83,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0.04,0,0,3.8,0.25,0,0,0,0,0,0.65,0.14,0,0,0,0,0,0.03,0.07,0.0000000235,0.02754,4.2E-14,3.49E-12,1.11E-10,0.00000000197,2.730876456,126.295619,13.105,16.74189524,27.204383,0.0008547,74.62699,2.715491498,1.597686,3.324372,2.884186724,61.50068131,2.884186724,61.50068089,2.974946401,62.87346825,943.235468,0.327871,25.95274,223.5739,0.899038,231.845475,2.994,69.677,0.276149191,161.3399257,0.276149191,0.571835596,0.72,0,0,1000000,460,480,2
Al-4Si-Mg,16,95.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0,0,0,0,0,0,0,3.82,0,0,0,0,0,0,0,0.0000000225,1.18E-16,3.94E-14,3.28E-12,1.05E-10,0.00000000187,68.9361336,137.19178,13.0312,16.66363973,27.002939,0.0233211,76.50006,2.697143784,1.618749,3.422103,2.896808201,60.25500368,2.896808276,60.25500285,2.913153108,60.50400272,962.261292,0.327791,27.97542,224.8416,0.893828,232.9898,3.0302,72.0915,0.447571556,165.2406695,0.447571556,0,0,0,1,1000000,250,425,6
AlCu5MnCdVA,17,97.27,0,0,0,0,0,0,0.02,0,0,0,2.31,0,0,0.02,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0.1,0.09,0,0.03,0.0000000239,0.01546,4.84E-14,3.92E-12,1.2E-10,0.00000000206,0.186949624,126.51363,13.4245,16.35009394,27.954089,0,77.67673,2.885557905,1.616527,3.395336,2.857991045,60.17468162,2.857991101,60.174681,2.857731323,60.22357443,946.8063,0.330114,26.6418,224.9421,0.886388,239.897276,3.1971,71.7186,0.167601306,163.7568922,0.167601306,0.02090852,0.08,0,1,1000000,151.5,314.4,12.89
AlSi7Mg0.6,18,92.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0,0,0,0,0,0,0,6.74,0,0,0,0,0,0,0,0.0000000218,1.15E-16,3.82E-14,3.18E-12,1.02E-10,0.00000000182,121.489676,146.9835,13.062,16.76199222,27.039623,0.0411477,77.20222,2.686721287,1.627697,3.461319,2.925307555,60.20700395,2.92530766,60.20700287,2.93850174,60.40800298,984.28112,0.326395,29.55494,224.9496,0.888088,230.5498,3.061,73.8835,0.579746951,165.3678568,0.579746951,0,0,0,1,1000000,271,446,6
Al-Zn-Mg-Cu (Al7075),19,91.05,0,0,0,0,0,0,0,0,0,0.15,0.66,0,0,0.26,0,0,2.24,0,0,0,0,0,0,0,2.96,0,0,0,0.12,0,2.24,0.31,0.0000000543,2.05632,1.05E-13,1.1E-11,3.5E-10,0.00000000543,53.74197025,132.796522,13.6371,16.63814142,28.388676,0.0180708,76.46529,2.870994182,1.614208,3.353214,2.887013636,61.59000588,2.887013669,61.59000103,2.98972287,63.11362121,961.916749,0.3256,28.23076,223.5274,0.877961,229.38484,3.2831,73.2473,0.452284281,158.7365763,0.452284281,0.695006366,0.37,0,1,1000000,397,446,6.5
A205,20,92.35,0.19,3.21,0,0,0,0,0,0,0,0,1.96,0,0,0.02,0,0,0.31,0,0,0,0,0,0,0,0.08,0,0,0,1.88,0,0,0,0.0000000223,1.17E-16,3.89E-14,3.24E-12,1.04E-10,0.00000000185,964.6190828,138.59058,13.2909,16.10890667,27.722523,0.04650054,82.14974,2.888787859,1.628125,3.491596,2.953723335,60.65961188,2.953723374,60.65961136,2.939860441,61.37750405,1007.485004,0.32285,32.38878,222.3143,0.885909,229.4415,3.1895,84.2622,0.720388831,161.4635508,0.720388831,4.961006705,0.94,0,0,1000000,322,401,17.7
AlSi10Mg,21,89.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0.39,0,0,0,0,0,0,0,9.64,0,0,0,0,0,0,0,0.0000000211,1.11E-16,3.7E-14,3.08E-12,9.84E-11,0.00000000176,173.6831416,156.73253,13.0977,16.8468296,27.088328,0.0588522,77.98102,2.679529534,1.636735,3.50231,2.9524687,60.12600423,2.952468833,60.12600305,2.960937386,60.25273815,1006.414877,0.324971,31.15734,225.0514,0.881837,228.0989,3.0947,75.75,0.680849518,165.539347,0.680849518,0.035505362,0,0,1,1000000,243,420,4.6
AlSi10Mg,22,89.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11,0,0,0,0,0,0,0,9.63,0,0,0,0,0,0,0,0.0000000211,1.11E-16,3.7E-14,3.08E-12,9.83E-11,0.00000000176,173.50818,156.68985,13.0839,16.89150913,27.054558,0.05879115,77.63664,2.670367449,1.634436,3.488205,2.954834138,60.32700418,2.954834266,60.32700288,2.976692683,60.66000321,1005.825375,0.324708,31.05918,224.826,0.882945,227.6028,3.0849,75.4935,0.689968072,164.9189907,0.689968072,0,0,0,1,1000000,296,461,11
AlSi10Mg,23,89.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,9.74,0,0,0,0,0,0,0,0.0000000211,1.11E-16,3.7E-14,3.08E-12,9.83E-11,0.00000000176,175.4811648,157.01594,13.0946,16.84801808,27.080638,0.0594627,78.00852,2.677812961,1.637406,3.505512,2.953589013,60.08400422,2.95358915,60.0840029,2.95910336,60.16800325,1006.834506,0.325018,31.19544,225.108,0.88183,228.202,3.0946,75.774,0.682196945,165.7270109,0.682196945,0,0,0,1,1000000,220,356,4
Al-Mg-Li-Ag-Sc-Zr alloy,24,88.15,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.74,4.48,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0.02,0.00000642,0.00000000292,0.0000000352,0.000000207,0.000000816,0.00000252,0.217356016,120.3074,12.4316,17.02738075,25.864981,0,69.82842,2.563140953,1.554626,3.18732,2.886450953,62.77419514,2.886450824,62.77419454,3.313347137,63.06600179,904.131352,0.33026,24.14848,219.4393,1.08253,223.26114,2.8502,64.55452,0.288129691,153.3338,0.288129691,0.10185247,7,1,1,1000000,330,437,9.15
AlSi10Mg,25,89.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0.35,0,0,0,0,0,0,0,9.65,0,0,0,0.03,0,0,0,0.0000000211,1.11E-16,3.7E-14,3.08E-12,9.84E-11,0.00000000176,173.8623953,156.75222,13.0996,16.84758689,27.092698,0.05891325,77.9986,2.679676589,1.63698,3.503785,2.953316254,60.12300422,2.953316388,60.12300299,2.960159633,60.24284419,1006.714518,0.32502,31.1631,225.0755,0.881836,228.11299,3.0948,75.7586,0.680506852,165.5737687,0.680506852,0.015505362,0.015,0,1,1000000,304,486,11.9
AlSi10MgMn,26,89.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0.62,0.25,0,0,0,0,0,0,9.74,0,0,0,0.03,0,0,0,0.000000021,1.11E-16,3.68E-14,3.06E-12,9.79E-11,0.00000000175,175.4860985,157.37558,13.1343,16.8538033,27.171012,0.0594627,78.06632,2.690381393,1.636252,3.498845,2.967128538,60.33968228,2.967128668,60.33968122,2.98023459,60.55220413,1009.261422,0.32461,31.35054,224.9535,0.880579,227.124455,3.1057,76.1427,0.689289764,165.2107778,0.689289764,0.075505362,0.015,0,1,1000000,342.5,509,9.85
